table_schema,table_name,constraint_name,constraint_type
public,VoyWorkContracts,VoyWorkContracts_job_id_fkey,FOREIGN KEY
public,VoyWorkContracts,VoyWorkContracts_pkey,PRIMARY KEY
public,VoyWorkSchedules,2200_49528_1_not_null,CHECK
public,VoyWorkSchedules,2200_49528_2_not_null,CHECK
public,VoyWorkSchedules,2200_49528_3_not_null,CHECK
public,VoyWorkSchedules,VoyWorkSchedules_period_type_check,CHECK
public,VoyWorkSchedules,VoyWorkSchedules_job_id_fkey,FOREIGN KEY
public,VoyWorkSchedules,VoyWorkSchedules_pkey,PRIMARY KEY
voy_marketplace,buyer_profiles,70675_70805_14_not_null,CHECK
voy_marketplace,buyer_profiles,70675_70805_15_not_null,CHECK
voy_marketplace,buyer_profiles,70675_70805_1_not_null,CHECK
voy_marketplace,buyer_profiles,70675_70805_2_not_null,CHECK
voy_marketplace,buyer_profiles,70675_70805_3_not_null,CHECK
voy_marketplace,buyer_profiles,buyer_profiles_user_id_fkey,FOREIGN KEY
voy_marketplace,buyer_profiles,buyer_profiles_pkey,PRIMARY KEY
voy_marketplace,categories,70675_70842_1_not_null,CHECK
voy_marketplace,categories,70675_70842_2_not_null,CHECK
voy_marketplace,categories,70675_70842_4_not_null,CHECK
voy_marketplace,categories,70675_70842_6_not_null,CHECK
voy_marketplace,categories,70675_70842_7_not_null,CHECK
voy_marketplace,categories,70675_70842_8_not_null,CHECK
voy_marketplace,categories,categories_parent_id_fkey,FOREIGN KEY
voy_marketplace,categories,categories_pkey,PRIMARY KEY
voy_marketplace,credit_notes,70675_71058_1_not_null,CHECK
voy_marketplace,credit_notes,70675_71058_2_not_null,CHECK
voy_marketplace,credit_notes,70675_71058_3_not_null,CHECK
voy_marketplace,credit_notes,70675_71058_4_not_null,CHECK
voy_marketplace,credit_notes,70675_71058_6_not_null,CHECK
voy_marketplace,credit_notes,credit_notes_return_id_fkey,FOREIGN KEY
voy_marketplace,credit_notes,credit_notes_pkey,PRIMARY KEY
voy_marketplace,credit_notes,credit_notes_return_id_key,UNIQUE
voy_marketplace,inventory,70675_70912_1_not_null,CHECK
voy_marketplace,inventory,70675_70912_2_not_null,CHECK
voy_marketplace,inventory,70675_70912_3_not_null,CHECK
voy_marketplace,inventory,70675_70912_4_not_null,CHECK
voy_marketplace,inventory,inventory_product_id_fkey,FOREIGN KEY
voy_marketplace,inventory,inventory_pkey,PRIMARY KEY
voy_marketplace,invoices,70675_71007_1_not_null,CHECK
voy_marketplace,invoices,70675_71007_2_not_null,CHECK
voy_marketplace,invoices,70675_71007_3_not_null,CHECK
voy_marketplace,invoices,70675_71007_4_not_null,CHECK
voy_marketplace,invoices,70675_71007_6_not_null,CHECK
voy_marketplace,invoices,invoices_order_id_fkey,FOREIGN KEY
voy_marketplace,invoices,invoices_pkey,PRIMARY KEY
voy_marketplace,invoices,invoices_order_id_key,UNIQUE
voy_marketplace,order_items,70675_70986_10_not_null,CHECK
voy_marketplace,order_items,70675_70986_1_not_null,CHECK
voy_marketplace,order_items,70675_70986_2_not_null,CHECK
voy_marketplace,order_items,70675_70986_3_not_null,CHECK
voy_marketplace,order_items,70675_70986_4_not_null,CHECK
voy_marketplace,order_items,70675_70986_5_not_null,CHECK
voy_marketplace,order_items,70675_70986_6_not_null,CHECK
voy_marketplace,order_items,70675_70986_7_not_null,CHECK
voy_marketplace,order_items,70675_70986_8_not_null,CHECK
voy_marketplace,order_items,70675_70986_9_not_null,CHECK
voy_marketplace,order_items,order_items_order_id_fkey,FOREIGN KEY
voy_marketplace,order_items,order_items_product_id_fkey,FOREIGN KEY
voy_marketplace,order_items,order_items_pkey,PRIMARY KEY
voy_marketplace,orders,70675_70957_11_not_null,CHECK
voy_marketplace,orders,70675_70957_12_not_null,CHECK
voy_marketplace,orders,70675_70957_1_not_null,CHECK
voy_marketplace,orders,70675_70957_2_not_null,CHECK
voy_marketplace,orders,70675_70957_3_not_null,CHECK
voy_marketplace,orders,70675_70957_4_not_null,CHECK
voy_marketplace,orders,70675_70957_5_not_null,CHECK
voy_marketplace,orders,70675_70957_6_not_null,CHECK
voy_marketplace,orders,70675_70957_7_not_null,CHECK
voy_marketplace,orders,70675_70957_8_not_null,CHECK
voy_marketplace,orders,70675_70957_9_not_null,CHECK
voy_marketplace,orders,orders_buyer_user_id_fkey,FOREIGN KEY
voy_marketplace,orders,orders_seller_id_fkey,FOREIGN KEY
voy_marketplace,orders,orders_pkey,PRIMARY KEY
voy_marketplace,product_images,70675_70882_1_not_null,CHECK
voy_marketplace,product_images,70675_70882_2_not_null,CHECK
voy_marketplace,product_images,70675_70882_3_not_null,CHECK
voy_marketplace,product_images,70675_70882_4_not_null,CHECK
voy_marketplace,product_images,70675_70882_5_not_null,CHECK
voy_marketplace,product_images,product_images_product_id_fkey,FOREIGN KEY
voy_marketplace,product_images,product_images_pkey,PRIMARY KEY
voy_marketplace,product_prices,70675_70898_1_not_null,CHECK
voy_marketplace,product_prices,70675_70898_2_not_null,CHECK
voy_marketplace,product_prices,70675_70898_3_not_null,CHECK
voy_marketplace,product_prices,70675_70898_9_not_null,CHECK
voy_marketplace,product_prices,product_prices_product_id_fkey,FOREIGN KEY
voy_marketplace,product_prices,product_prices_pkey,PRIMARY KEY
voy_marketplace,products,70675_70856_10_not_null,CHECK
voy_marketplace,products,70675_70856_11_not_null,CHECK
voy_marketplace,products,70675_70856_1_not_null,CHECK
voy_marketplace,products,70675_70856_2_not_null,CHECK
voy_marketplace,products,70675_70856_3_not_null,CHECK
voy_marketplace,products,70675_70856_7_not_null,CHECK
voy_marketplace,products,70675_70856_8_not_null,CHECK
voy_marketplace,products,70675_70856_9_not_null,CHECK
voy_marketplace,products,products_category_id_fkey,FOREIGN KEY
voy_marketplace,products,products_seller_id_fkey,FOREIGN KEY
voy_marketplace,products,products_pkey,PRIMARY KEY
voy_marketplace,promotion_products,70675_70942_1_not_null,CHECK
voy_marketplace,promotion_products,70675_70942_2_not_null,CHECK
voy_marketplace,promotion_products,promotion_products_product_id_fkey,FOREIGN KEY
voy_marketplace,promotion_products,promotion_products_promotion_id_fkey,FOREIGN KEY
voy_marketplace,promotion_products,promotion_products_pkey,PRIMARY KEY
voy_marketplace,promotions,70675_70925_10_not_null,CHECK
voy_marketplace,promotions,70675_70925_11_not_null,CHECK
voy_marketplace,promotions,70675_70925_1_not_null,CHECK
voy_marketplace,promotions,70675_70925_2_not_null,CHECK
voy_marketplace,promotions,70675_70925_3_not_null,CHECK
voy_marketplace,promotions,70675_70925_4_not_null,CHECK
voy_marketplace,promotions,70675_70925_5_not_null,CHECK
voy_marketplace,promotions,70675_70925_6_not_null,CHECK
